guard_id,timestamp,latitude,longitude,altitude_ft,time_gap_seconds,distance_from_previous_m,speed_kmh,gps_jump,distance_to_road_m,road_match_status,highway,maxspeed,length,long_time_gap,high_speed,large_road_deviation,gps_jump_flag,anomaly_signal_count,extreme_speed,very_high_speed,extreme_road_deviation,very_large_road_deviation,critical_time_gap,high_time_gap,severity,rule_anomaly_score,ml_anomaly,ml_anomaly_score_raw,ml_anomaly_score,final_risk_score,is_anomaly,anomaly_reasons,rule_flag,ml_flag,session_break,session_number,patrol_id,anomaly_types,median_speed_kmh,median_time_gap_seconds,median_road_distance_m,speed_deviation_kmh,time_gap_deviation_seconds,road_distance_deviation_m,ml_prediction,hybrid_risk_score,model_agreement,hybrid_severity,incident_id,rule_anomaly_flag,ml_anomaly_flag,rule_ml_agreement,anomaly_reason,tuned_rule_score,ml_anomaly_label,ml_score_normalized,hybrid_anomaly_score,risk_level,detection_category,tuned_rule_score_v2,far_from_road,road_deviation_group,sustained_far_from_road,final_rule_score,final_hybrid_score,final_risk_level,final_anomaly
000,2008-10-23 04:08:07,39.995777,116.286798,716,3772.0,1652.6691387785393,1.5773088281025296,False,10.987361234294788,ACCEPTABLE,service,,146.0,True,False,False,0,1,False,False,False,False,True,True,MEDIUM,0.25,True,0.7786810673997819,0.8309650751716834,0.634893035378557,True,"['LONG_GPS_GAP', 'ML_ANOMALY']",True,True,True,2,000_PATROL_0002,['LONG_TIME_GAP'],7.299305080891843,5.0,7.186340794376221,5.721996252789314,3767.0,3.8010204399185668,-1,0.5211725837751257,False,MEDIUM,000_INC_0002,False,True,False,"Large Time Gap, Large Distance Jump",0.5,-1,1.0,0.75,Critical,Rule + ML,0.5,False,1,False,0.5,0.75,Critical,True
000,2008-10-23 04:08:12,39.996832,116.285446,276,5.0,164.47746902079876,118.42377769497513,False,1.5067079636752525,GOOD,secondary,,217.0,False,True,False,0,1,True,True,False,False,False,False,MEDIUM,0.25,True,0.7300202522113725,0.7492670061654332,0.5509326472670918,True,"['HIGH_SPEED', 'ML_ANOMALY']",True,True,False,2,000_PATROL_0002,['ABNORMAL_SPEED'],7.299305080891843,5.0,7.186340794376221,111.12447261408329,0.0,5.679632830700969,-1,0.47895932397681085,False,MEDIUM,000_INC_0003,False,True,False,"High Speed, Large Distance Jump",0.5,-1,0.8305587405505044,0.6652793702752522,High,Rule + ML,0.5,False,1,False,0.5,0.6652793702752522,High,True
000,2008-10-23 04:08:42,39.984397,116.299292,931,30.0,1817.8931126799523,218.14717352159428,True,6.03069829018411,GOOD,tertiary,,68.0,False,True,False,1,2,True,True,False,False,False,False,HIGH,0.5,True,0.811911516315124,0.8248208839882538,0.8,True,"['HIGH_SPEED', 'GPS_JUMP', 'ML_ANOMALY']",True,True,False,2,000_PATROL_0002,"['GPS_JUMP', 'ABNORMAL_SPEED']",7.299305080891843,5.0,7.186340794376221,210.84786844070243,25.0,1.1556425041921115,-1,0.7,True,HIGH,000_INC_0004,True,True,True,"High Speed, Large Distance Jump",0.5,-1,0.9872569877711657,0.7436284938855828,Critical,Rule + ML,0.5,False,1,False,0.5,0.7436284938855828,Critical,True
000,2008-10-23 04:11:22,39.983841,116.299902,818,5.0,104.2785831927469,75.08057989877776,False,0.941744498103281,GOOD,tertiary_link,,60.0,False,True,False,0,1,True,True,False,False,False,False,MEDIUM,0.25,True,0.695166016844032,0.7114756448278681,0.5264565352389997,True,"['HIGH_SPEED', 'ML_ANOMALY']",True,True,False,2,000_PATROL_0002,[],7.299305080891843,5.0,7.186340794376221,67.78127481788592,0.0,6.24459629627294,-1,0.4487232729173207,False,MEDIUM,000_INC_0004,False,True,False,Large Distance Jump,0.25,-1,0.752179704922892,0.501089852461446,High,Rule + ML,0.25,False,1,False,0.25,0.501089852461446,High,True
000,2008-10-23 09:42:25,40.004775,116.320158,105,18453.0,686.9894990965939,0.13402493885805766,False,0.007636236931393987,GOOD,footway,,289.0,True,False,False,0,1,False,False,False,False,True,True,MEDIUM,0.25,True,0.7892670610482903,0.8201588396124306,0.6344622149503657,True,"['LONG_GPS_GAP', 'ML_ANOMALY']",True,True,True,3,000_PATROL_0003,['LONG_TIME_GAP'],7.299305080891843,5.0,7.186340794376221,7.165280142033785,18448.0,7.178704557444827,-1,0.5303559338356941,False,MEDIUM,000_INC_0007,False,True,False,"Large Time Gap, Large Distance Jump",0.5,-1,0.9775879383033197,0.7387939691516598,Critical,Rule + ML,0.5,False,1,False,0.5,0.7387939691516598,Critical,True
000,2008-10-23 10:02:04,40.009351,116.321916,158,338.0,27.470228354682668,0.2925823138368568,False,4.793111536712262,GOOD,residential,,535.0,True,False,False,0,1,False,False,False,False,False,True,MEDIUM,0.25,True,0.6094839560120979,0.6572393047600875,0.4492862145069969,True,"['LONG_GPS_GAP', 'ML_ANOMALY']",True,True,False,3,000_PATROL_0003,['LONG_TIME_GAP'],7.299305080891843,5.0,7.186340794376221,7.0067227670549865,333.0,2.3932292576639593,-1,0.37439408052814427,False,LOW,000_INC_0008,False,True,False,Large Time Gap,0.25,-1,0.6396938912335524,0.4448469456167762,Medium,Rule + ML,0.25,False,1,False,0.25,0.4448469456167762,Medium,True
000,2008-10-23 10:07:21,40.007462,116.319493,132,2.0,1.1589033060208542,2.086025950837538,False,71.93013154305204,VERY_FAR,residential,,449.0,False,False,True,0,1,False,False,False,False,False,False,LOW,0.25,True,0.584832826822408,0.5839849361120423,0.3876635450378656,False,"['ROAD_DEVIATION', 'ML_ANOMALY']",True,True,False,3,000_PATROL_0003,['ROUTE_DEVIATION'],7.299305080891843,5.0,7.186340794376221,5.213279130054305,3.0,64.74379074867582,-1,0.3530092246276194,False,LOW,,False,True,False,Far From Road,0.25,-1,0.4877648109641908,0.3688824054820954,Medium,Rule + ML,0.25,True,2,True,0.25,0.3688824054820954,Medium,True
000,2008-10-23 10:09:26,40.007272,116.319756,129,10.0,70.11701237052544,25.24212445338916,False,64.20789410351051,VERY_FAR,service,,161.0,False,True,True,0,2,False,False,False,False,False,False,MEDIUM,0.5,True,0.6918466633106168,0.7044409501627525,0.6416431522928643,True,"['ROAD_DEVIATION', 'ML_ANOMALY']",True,True,False,3,000_PATROL_0003,['ROUTE_DEVIATION'],7.299305080891843,5.0,7.186340794376221,17.94281937249732,5.0,57.02155330913429,-1,0.5958437335482005,True,MEDIUM,000_INC_0009,True,True,True,Far From Road,0.25,-1,0.7375897943118024,0.4937948971559012,Medium,Rule + ML,0.0,False,3,False,0.0,0.3687948971559012,Medium,True
000,2008-10-23 10:09:41,40.007428,116.319432,130,10.0,22.024635430080124,7.928868754828845,False,72.83266447192014,VERY_FAR,path,,54.0,False,False,True,0,1,False,False,False,False,False,False,LOW,0.25,True,0.624486552384658,0.6168632087268463,0.38051638375547914,False,"['ROAD_DEVIATION', 'ML_ANOMALY']",True,True,False,3,000_PATROL_0003,['ROUTE_DEVIATION'],7.299305080891843,5.0,7.186340794376221,0.6295636739370023,5.0,65.64632367754392,-1,0.38740883368984186,False,LOW,,False,True,False,Far From Road,0.25,-1,0.5559541327944295,0.40297706639721476,Medium,Rule + ML,0.25,True,4,True,0.25,0.40297706639721476,Medium,True
000,2008-10-23 10:10:31,40.007288,116.319088,125,25.0,34.34445177970782,4.945601056277926,False,70.9152132300682,VERY_FAR,service,,161.0,False,False,True,0,1,False,False,False,False,False,False,MEDIUM,0.25,True,0.6419280774990177,0.6634830467454124,0.4120139184100896,True,"['ROAD_DEVIATION', 'ML_ANOMALY']",True,True,False,3,000_PATROL_0003,['ROUTE_DEVIATION'],7.299305080891843,5.0,7.186340794376221,2.3537040246139167,20.0,63.72887243569198,-1,0.4025393576664864,False,MEDIUM,000_INC_0009,False,True,False,Far From Road,0.25,-1,0.652643371172793,0.4513216855863965,Medium,Rule + ML,0.25,True,6,True,0.25,0.4513216855863965,Medium,True
