guard_id,patrol_id,session_number,event_id,start_time,end_time,anomaly_points,max_speed_kmh,max_distance_jump_m,max_distance_to_road_m,max_hybrid_score,event_risk_level,event_classification
000,000_PATROL_0002,2,1,2008-10-23 04:08:07,2008-10-23 04:08:42,3,218.14717352159428,1817.8931126799523,10.987361234294788,0.75,Critical,Strong Anomaly
000,000_PATROL_0003,3,1,2008-10-23 09:42:25,2008-10-23 09:42:25,1,0.13402493885805766,686.9894990965939,0.007636236931393987,0.7387939691516598,Critical,Strong Anomaly
000,000_PATROL_0003,3,7,2008-10-23 10:26:35,2008-10-23 10:26:35,1,2.5617211231943715,226.99695508305678,32.0106011892749,0.6646618778041772,High,Strong Anomaly
000,000_PATROL_0003,3,9,2008-10-23 10:44:31,2008-10-23 10:44:31,1,0.6541024395643178,121.91742692990479,22.854006894453654,0.5392335637824126,High,Likely Anomaly
000,000_PATROL_0003,3,6,2008-10-23 10:19:16,2008-10-23 10:19:16,1,61.286863054641344,85.12064313144631,51.4716093207756,0.5129595208803815,High,Strong Anomaly
000,000_PATROL_0002,2,2,2008-10-23 04:11:22,2008-10-23 04:11:22,1,75.08057989877776,104.2785831927469,0.941744498103281,0.501089852461446,High,Strong Anomaly
000,000_PATROL_0003,3,8,2008-10-23 10:28:45,2008-10-23 10:28:50,3,22.530986935002524,62.586074819451454,73.29299659276082,0.49483490072752934,Medium,Possible GPS / Location Issue
000,000_PATROL_0003,3,10,2008-10-23 11:08:22,2008-10-23 11:08:22,1,0.03208192515051002,11.861400659813565,9.406038437983007,0.48712255281446815,Medium,Needs Inspection
000,000_PATROL_0003,3,5,2008-10-23 10:14:21,2008-10-23 10:15:06,2,19.224082225544922,151.85965406118785,67.97699607102038,0.48391200906895526,Medium,Possible GPS / Location Issue
000,000_PATROL_0003,3,4,2008-10-23 10:09:26,2008-10-23 10:10:36,8,25.24212445338916,70.11701237052544,72.83266447192014,0.4513216855863965,Medium,Possible GPS / Location Issue
000,000_PATROL_0003,3,2,2008-10-23 10:02:04,2008-10-23 10:02:04,1,0.2925823138368568,27.470228354682668,4.793111536712262,0.4448469456167762,Medium,Needs Inspection
000,000_PATROL_0003,3,3,2008-10-23 10:07:21,2008-10-23 10:07:21,1,2.086025950837538,1.1589033060208542,71.93013154305204,0.3688824054820954,Medium,Possible GPS / Location Issue
